giorno;mm_totale_positivi;mm_deceduti;mm_guariti;mm_totale_casi
"2020-02-24";"221";"7";"1";"221"
"2020-02-25";"156";"5";"1";"157"
"2020-02-26";"128";"4";"1";"131"
"2020-02-27";"147";"4";"11";"161"
"2020-02-28";"164";"4";"9";"176"
"2020-02-29";"175";"5";"8";"187"
"2020-03-01";"225";"5";"12";"241"
"2020-03-02";"231";"6";"21";"258"
"2020-03-03";"279";"10";"23";"311"
"2020-03-04";"332";"14";"39";"384"
"2020-03-05";"387";"19";"53";"458"
"2020-03-06";"442";"25";"68";"535"
"2020-03-07";"573";"29";"77";"679"
"2020-03-08";"687";"47";"77";"812"
"2020-03-09";"879";"59";"82";"1019"
"2020-03-10";"893";"79";"121";"1092"
"2020-03-11";"1126";"103";"110";"1339"
"2020-03-12";"1363";"124";"121";"1608"
"2020-03-13";"1577";"153";"131";"1861"
"2020-03-14";"1813";"173";"197";"2182"
"2020-03-15";"2031";"206";"245";"2482"
"2020-03-16";"2155";"242";"289";"2687"
"2020-03-17";"2507";"267";"277";"3051"
"2020-03-18";"2589";"307";"426";"3322"
"2020-03-19";"2907";"341";"455";"3703"
"2020-03-20";"3272";"395";"527";"4194"
"2020-03-21";"3562";"483";"587";"4632"
"2020-03-22";"3719";"524";"670";"4913"
"2020-03-23";"3906";"560";"669";"5135"
"2020-03-24";"3995";"617";"769";"5381"
"2020-03-25";"4116";"646";"762";"5525"
"2020-03-26";"4118";"680";"846";"5643"
"2020-03-27";"4079";"729";"832";"5640"
"2020-03-28";"3912";"743";"902";"5556"
"2020-03-29";"3892";"758";"858";"5507"
"2020-03-30";"3587";"788";"1027";"5402"
"2020-03-31";"3372";"801";"1058";"5231"
"2020-04-01";"3293";"807";"1069";"5170"
"2020-04-02";"3005";"821";"1131";"4958"
"2020-04-03";"2711";"792";"1258";"4761"
"2020-04-04";"2601";"763";"1230";"4594"
"2020-04-05";"2481";"730";"1255";"4466"
"2020-04-06";"2523";"705";"1174";"4401"
"2020-04-07";"2347";"671";"1238";"4256"
"2020-04-08";"2099";"645";"1378";"4121"
"2020-04-09";"1975";"623";"1456";"4055"
"2020-04-10";"1841";"595";"1528";"3964"
"2020-04-11";"1714";"587";"1648";"3948"
"2020-04-12";"1572";"573";"1771";"3916"
"2020-04-13";"1490";"563";"1800";"3853"
"2020-04-14";"1461";"563";"1820";"3843"
"2020-04-15";"1451";"568";"1657";"3676"
"2020-04-16";"1390";"556";"1671";"3616"
"2020-04-17";"1241";"557";"1753";"3551"
"2020-04-18";"1072";"537";"1770";"3379"
"2020-04-19";"858";"537";"1835";"3230"
