u40,mid,old,ger
13109.082443461988,8408.238245966677,3583.583960629135,948.6166481540032
13115.300899387215,8847.258924865086,3690.1769426251185,1024.4014115503635
13405.124229479474,8980.986481344638,3910.564198954662,1138.534707566849
13931.499942447004,9671.561163493583,3959.8795153069095,1423.3835544208303
14280.826291890062,10109.472024870252,4108.489806477878,1441.9135173207992
14294.013317012097,9892.873264376705,4597.796269748448,1672.7400287601786
14662.682253449675,10389.465070264969,4730.855606110072,1669.4707275145477
15045.478284388522,10406.711679402879,4716.808579142619,1900.0879056663346
15611.048106125341,10724.114819512688,5123.079406731606,1754.3772442731934
16012.952666283461,10972.398921588225,5110.73830564007,1828.964285061845
16336.295101880463,11207.553656325937,5668.432305409035,1656.5448111702112
16444.81433669537,11838.512545547666,5991.991236605386,2035.9637748279404
16405.6857869315,11663.89836777734,6153.754590664783,1863.9064269216321
17210.5654061026,11875.70727774728,6351.694429383389,1814.5197688708251
17675.54033466208,12559.777168027795,6426.013188429683,2173.0495327202707
17631.219158263677,12514.898710528376,6531.959213094093,2426.239872088337
17856.311808694805,12721.827118790543,6633.23127994369,2411.606538436102
18309.57418582804,13499.426261319268,6988.9098437569555,2603.8648331478958
18607.279613282728,13410.052152975766,6969.344706736456,2355.8491909490085
19336.169422711846,14242.962838212494,7166.124625363833,2710.812990565504
18759.557851278983,14471.98713612523,7373.771120571508,2766.556864534345
19623.145283703856,14450.30679262101,7422.458953721704,2355.739902572901
19677.2450152975,14514.487726295827,7599.735528203146,2396.089127492573
20176.271366427653,14665.680951699933,7770.058685056669,2630.899565905383
20977.507475969054,14762.87953525234,7809.2251975859035,2648.4103353027976
21950.790707367247,14668.498716485803,7816.688179826129,2839.8331412210155
22874.9769797437,15030.844647845139,7904.330559868791,2766.4186726471785
24254.07105031141,15575.927108657514,8043.861815838906,3084.619665451065
24153.149909306234,16043.907800988203,8323.150460197814,3428.692949892989
24869.181024748425,15963.296045835608,7909.499672449257,3292.326708767362
24516.74483721456,16155.944094243623,8131.588730017794,3470.598604162737
