Date,u40,mid,old,ger
2020-08-31,42597.325947689824,72191.45254124945,52379.14765180719,39048.75907010808
2020-09-01,43075.39251274888,72038.64130388816,52254.56768727447,39059.978234445254
2020-09-02,43537.39078630724,71871.47101062769,52172.981937840785,39054.83229737928
2020-09-03,43877.948981987356,71867.44742372975,52104.42164613971,38994.15346222962
2020-09-04,44222.41638711184,71825.31373834219,52151.31859729481,38881.10742165092
2020-09-05,44552.810451227604,71795.3344705096,52191.062448294455,38816.03994624864
2020-09-06,44912.66309795883,72024.31534399075,52039.73831331196,38678.365137971356
2020-09-07,45264.0092022988,72129.4751498176,51987.77831816756,38606.259861894876
2020-09-08,45490.999814000155,72329.85655602069,52042.179699208005,38479.3422230382
2020-09-09,45708.897194312034,72547.74768287737,51992.7108344257,38482.9695320703
2020-09-10,45869.833304830434,72746.36604150294,52033.022860660865,38500.033440906336
2020-09-11,46160.21861794709,72947.5420113863,51890.686766991,38600.75117014483
2020-09-12,46686.2715512916,73059.97088696432,51822.7681961413,38528.80126402343
2020-09-13,47051.798580082184,73253.38368604604,51704.87306902598,38595.676225342584
2020-09-14,47210.655434230976,73502.85524706934,51704.8510621218,38712.743453202595
2020-09-15,47571.645804339336,73658.47958837834,51806.488631680324,38665.839902698026
2020-09-16,47973.25653650162,73885.41849717686,51879.80347363938,38558.071537581374
2020-09-17,48363.16171398084,74071.18065271204,51953.33937195937,38508.205083412526
2020-09-18,48869.894979916324,74178.57489835018,52021.35892595515,38463.84539752592
2020-09-19,49167.853473789735,74369.8443652192,52072.28716986353,38583.817467361165
2020-09-20,49587.830759147786,74540.73142496089,52249.38700964461,38552.88246247849
2020-09-21,50287.17422792346,74669.80913478373,52268.927724082416,38499.36365562171
2020-09-22,50526.505264496314,74939.24717992348,52412.6147398765,38693.511205572984
2020-09-23,50901.77130387033,75270.61511154323,52487.45858803059,38785.312307997025
2020-09-24,51270.93164838551,75669.16756604266,52606.80762642502,38791.13101860878
2020-09-25,51508.6671279941,76122.75561185878,52787.61994599587,38833.84986491609
2020-09-26,51660.247708634415,76735.29523953676,53030.75617048386,38783.73105477471
2020-09-27,51870.02348462986,77266.60410877496,53293.725476978565,38824.37133032452
2020-09-28,52179.50549998895,77829.16390475331,53647.91431519313,38794.76633506359
2020-09-29,52976.25341796977,78305.28423207512,53840.17755701404,38663.87744183809
2020-09-30,53448.67838896583,78839.66276570591,54234.64975588914,38653.45686346576
2020-10-01,54251.08206407405,79249.99462922632,54455.09673441747,38574.088687216594
2020-10-02,55224.196523929066,79688.64738479583,54736.898106847795,38342.49724978271
2020-10-03,56117.98996432652,80057.49564131579,55006.93321088857,38396.60002317092
2020-10-04,56903.327116407214,80667.48968084436,55248.37957975274,38520.27821473282
2020-10-05,57822.965416742394,81321.7410285255,55574.5109686776,38591.57925028748
2020-10-06,58810.69519388975,82106.74225281428,55891.77997082683,38719.89757680841
2020-10-07,60096.26793885839,82756.44122370631,56222.74796035809,38807.055232807994
2020-10-08,61178.242562139356,83509.29009984953,56438.779756191856,38890.707206422376
2020-10-09,62298.43607391652,84234.21424925816,56679.787501837556,39152.32230738652
2020-10-10,63849.36670991469,85059.02385608353,56929.67372747573,39182.310757827334
2020-10-11,65322.40720631734,85974.59031769141,57373.705731879905,39410.58449554213
2020-10-12,67229.76919852903,87009.11336038125,57807.98900590517,39522.27000763197
2020-10-13,69373.36701131884,88147.37311758542,58312.26832414283,39702.352840079206
2020-10-14,71473.31636927585,89570.5693594379,58821.35255238334,39835.688002453564
2020-10-15,73607.56741818279,90909.11553475453,59173.69611899762,39844.936097387144
2020-10-16,75904.88283918347,92122.22832657938,59728.97584929742,39938.54575615775
2020-10-17,78369.89470682664,93477.63439265819,60300.389343865565,40155.85496938905
2020-10-18,81750.3403001309,95046.21609351602,60785.805609660754,40078.08928342896
2020-10-19,85060.6959056728,96903.10927010541,61588.91205033007,40276.38229747134
2020-10-20,88991.61387210197,98989.3110877574,62360.330146396656,40399.0662190074
2020-10-21,92773.47257332227,101171.4958681667,63100.58527045655,40524.45853907651
2020-10-22,96267.56299517046,103112.87727641861,63752.82451132032,40473.98122613221
2020-10-23,100289.98880141637,104804.01831165732,64314.49781045014,40278.012277461574
2020-10-24,104351.73631139382,106607.17503273797,64952.46265084959,40151.731720880874
2020-10-25,108522.96570139604,108572.22708209368,65423.449159659125,40300.583994759756
2020-10-26,113055.66527608373,110643.81972253123,65654.48919832325,40438.47619621487
2020-10-27,117502.40775459832,112819.8361074699,66183.09246362133,40517.80464100743
2020-10-28,121794.18384885449,115313.91955405571,66492.27634445742,40213.17978800742
2020-10-29,125234.80733948834,117504.03591888282,66764.82607645159,40119.644481383424
2020-10-30,129495.09026953137,119059.86863380266,66704.93725598078,39881.169056428655
2020-10-31,133705.48127731102,120902.95643220554,66320.42841284748,39684.38899722183
2020-11-01,138428.89967649523,122780.05752903885,66161.669166343,39215.155051807684
2020-11-02,143758.51571909117,124876.26376068515,66178.49375393981,38459.683420625945
2020-11-03,149505.7250657881,127099.24742621074,66209.77753071136,37963.675238392534
2020-11-04,154441.110405496,129933.1087874614,66726.60689767916,37659.33655161118
2020-11-05,158902.65414392337,133192.34683753207,67454.75312351798,37279.781405665926
2020-11-06,164487.94932223114,136199.94363385273,67513.55443750074,37042.80004388593
2020-11-07,170744.78236802857,139337.82556618375,67848.28025461122,36244.73200275186
2020-11-08,177213.4431766234,142428.7775961342,68533.91813700939,35088.43334502049
2020-11-09,183126.69242580392,146459.629107839,68890.37967360203,34375.811402370586
2020-11-10,189606.7082541642,151205.29174370773,69103.67899759699,32942.49734723588
2020-11-11,195218.65535491495,155245.64399010886,69682.64738969921,33158.44887722426
2020-11-12,200388.31516098307,159872.10238904844,70954.62873419325,32932.43329641184
2020-11-13,207023.66459200165,165269.66834654892,71992.49610159473,31107.026163153947
2020-11-14,213749.5138762844,169747.02025750006,73004.52687143098,30683.433235447363
2020-11-15,219935.3371842828,175168.59286728283,74039.72207216293,30513.708552609012
2020-11-16,226265.70014263576,180402.1350714444,75718.96867089639,30537.474801203476
2020-11-17,232725.14350148645,186306.54976152207,77562.72041708021,30181.61395974682
2020-11-18,238712.26083138672,192102.57037711883,80600.47790954213,30152.486426128584
2020-11-19,244157.121516613,197853.4021917833,84259.33322977557,31459.655685026217
2020-11-20,249963.40672994364,204722.4956947037,87280.52214004096,32691.467439274293
2020-11-21,257088.7000073399,212798.0898156597,90088.83675571851,32410.231318334423
2020-11-22,264093.94248142594,221666.24699023325,93234.69403462305,32116.682018913532
2020-11-23,272375.42724657105,230099.34255189222,97190.07066477448,31224.558280907528
2020-11-24,278441.3761969768,238591.43165040223,101970.25837333128,32625.116783546036
2020-11-25,286284.8867211588,248005.84270761456,106740.06617459479,32597.230815189687
2020-11-26,294709.298824272,256900.70265002715,111616.35732082283,33597.24206800114
2020-11-27,303100.3449816523,266496.0011897175,116576.58966438063,34165.683129972975
2020-11-28,310889.7368958467,276284.6940210073,122199.13089429775,34556.1958555389
2020-11-29,318566.7603665062,285906.85302746017,127351.1963155078,35559.3144815454
2020-11-30,325087.70556561643,294974.0825075604,132665.44839400775,37783.166603330064
2020-12-01,333511.8264256733,303882.42256949405,137220.29312497543,39040.983180386174
2020-12-02,342329.69127799646,312377.55144136626,141190.72459882102,41016.72133415791
2020-12-03,350987.14949574124,319984.0091451134,145869.9712041742,43549.37618033597
2020-12-04,359161.11494593835,327624.29879824823,151496.89486649405,45637.117739371344
2020-12-05,366007.86357226747,336433.45732139394,155648.65598915212,47765.656828330626
2020-12-06,374119.7754454915,342250.67902126093,161231.68631372304,50714.582599277186
2020-12-07,382913.7026294252,349884.54382826795,166216.7297729639,52525.95862041271
2020-12-08,391023.8106747226,358545.63256039924,171136.56214861205,54626.35633155999
2020-12-09,399010.49844937207,365418.02716069523,176560.24490635557,58517.599243259196
2020-12-10,408202.23214982013,373751.9744850468,181301.76936632305,60705.187689032675
2020-12-11,416058.71602514526,382960.496674772,185676.57582776726,63746.200304058664
2020-12-12,425443.87438667053,391518.3832532098,191632.67888971936,66018.32880070932
2020-12-13,433497.8851788092,401620.243945976,196295.95756586228,69001.59338207284
2020-12-14,441010.9883775441,411661.24692391,200889.271996864,72023.12490295066
2020-12-15,450157.6147182283,419624.6193615803,204998.2078846833,75248.22503561404
2020-12-16,459071.9890273929,427957.08818911767,209968.52236551265,76597.43256714671
2020-12-17,466117.79018021584,436263.19175032515,214887.30601911672,79118.60690370548
2020-12-18,473403.64326114097,443129.01186670846,219523.2430935023,82245.04223411393
2020-12-19,480478.91920091864,449920.31363791245,223079.42074406112,86545.73691687352
