Date,u40,mid,old,ger
2020-08-31,13073.561660377996,7494.049989421696,3083.41434447585,869.459507032406
2020-09-01,13210.748272294513,8008.2854570988875,3340.6825830160687,873.8968436761193
2020-09-02,13378.316172042792,8550.685319409127,3548.4892613809793,905.9332210989609
2020-09-03,13659.787839240702,8933.800913141427,3773.9221886750483,983.279974716824
2020-09-04,13937.859905899388,9386.138564706629,3878.3333967874096,1118.078096371145
2020-09-05,14238.70951743576,9826.805866280129,4008.7691801070564,1206.1783373773442
2020-09-06,14493.952508100778,10017.683750447859,4343.540254831483,1367.1035790607878
2020-09-07,14767.319258481197,10334.747676873187,4568.331813816522,1469.6045136571724
2020-09-08,15153.268861420196,10545.052811731266,4695.6253070806015,1636.3012983720932
2020-09-09,15546.569247495181,10752.59852421259,4925.751493536275,1666.8486615871122
2020-09-10,15972.755843068237,10997.87381129009,5044.028160968916,1710.4568799822443
2020-09-11,16306.612984956766,11211.258632741252,5357.887123628651,1656.5448111702112
2020-09-12,16392.844268814166,11534.473700076138,5615.759136488062,1773.3976220488616
2020-09-13,16637.85938172487,11769.351759542842,5903.634242786149,1770.7111055755502
2020-09-14,17070.67370264365,11929.460883272162,6114.810755974022,1723.9995082922353
2020-09-15,17347.34727805032,12224.692089784745,6194.660758306205,1814.7522864259217
2020-09-16,17580.833172539904,12433.152871361628,6336.200190805646,1968.0037133440192
2020-09-17,17860.227666547587,12674.621823359037,6472.230520721755,2053.12448542533
2020-09-18,18006.318171134826,13021.321581230875,6628.614550112778,2154.106361967805
2020-09-19,18386.374873332792,13272.129195187303,6772.2887975442545,2128.989639227993
2020-09-20,18649.818243692698,13597.005397061757,6838.393326267439,2211.0805088264724
2020-09-21,18675.94555939727,13998.458081644121,7027.566000501501,2308.5176485518373
2020-09-22,19147.26853490741,14220.023019033422,7151.480293506469,2182.765993642723
2020-09-23,19493.238048468305,14422.72068060797,7323.23787385064,2142.739201825796
2020-09-24,19848.421420691397,14554.751179243154,7461.157269442794,2205.3801578545995
2020-09-25,20371.490593329952,14633.413993803133,7538.996241400634,2226.660059304236
2020-09-26,21044.922086252016,14578.438862508914,7549.814610104208,2300.683150416371
2020-09-27,21679.90115628757,14620.06380032639,7542.096404930281,2320.645047670856
2020-09-28,22280.9846870474,14655.84549332005,7491.904234697171,2408.4781055456024
2020-09-29,22488.959979749186,14854.828203810386,7586.057898256567,2602.3992451982813
2020-09-30,23090.227311355728,15025.424007363052,7506.611547324497,2690.301253449901
2020-10-01,23425.118837272996,15330.389681406261,7640.101770745117,2851.75359758106
2020-10-02,23727.56406501072,15750.055707052778,7719.310723416097,3188.873878156029
2020-10-03,24222.005316106675,16346.89438257643,7894.436359133999,3280.4909962374454
2020-10-04,25075.141300930947,16797.46145955455,8117.012298589778,3321.1961926713598
2020-10-05,25975.105136534265,17338.973986773628,8310.65897862031,3454.856773160328
2020-10-06,27030.776931542347,17916.07088891513,8593.70677534116,3546.8740153673434
2020-10-07,28030.986200669373,18733.67453778226,8940.99293211653,3716.143640914685
2020-10-08,29330.014569720057,19552.18316137822,9400.288807699459,3888.514803851247
2020-10-09,30944.33305748304,20570.985317073406,9967.118737988001,3883.3558207687356
2020-10-10,32480.548275477,21736.843604415717,10578.416906891101,4187.790897657031
2020-10-11,34448.528135797016,23065.044858444042,11154.626949364498,4312.952897215022
2020-10-12,36409.147654039436,24574.627230605445,11802.226109600853,4558.880636110784
2020-10-13,38545.250815401414,26261.923322417868,12534.478357642918,4787.24301207871
2020-10-14,41097.05909860194,27948.1084364397,13357.265780497697,5066.073088676174
2020-10-15,43778.40813935112,29819.0481573067,14403.843525542834,5498.712358409375
2020-10-16,46798.52535803905,32202.532873421278,15382.543239245872,5920.287879376425
2020-10-17,50249.10110013265,34886.28795229556,16550.027098425497,6216.334039149863
2020-10-18,53444.67653919805,37917.69592388651,18010.098608138116,6914.457623479
2020-10-19,57421.03889906252,41184.138980577736,19456.68807554214,7435.32973518116
2020-10-20,61554.2520457704,44851.469442753645,21135.90270985249,8120.5222103699925
2020-10-21,66321.0637175924,48810.213627268065,23044.767978034924,8834.21340218553
2020-10-22,71599.06418856935,53238.63814228298,25141.850506047587,9759.510333624585
2020-10-23,76912.08755925731,58485.34279208645,27573.514458826765,10926.34688128185
2020-10-24,82836.50122516775,64254.16984194029,30152.37326845739,12138.287268221666
2020-10-25,89278.18751124514,70411.31538402312,33148.55383592463,13182.722060562937
2020-10-26,95801.88785399348,77017.68890855376,36593.94438403242,14242.107916697125
2020-10-27,102823.62681322225,84030.35070858822,40002.97629790162,15420.483643190346
2020-10-28,110198.57519491973,90981.04496898058,43818.06200647359,17051.98573214137
2020-10-29,118540.4071791804,98359.08150024986,47706.00182132202,18492.985157007643
2020-10-30,126326.58171453261,106795.85679782131,52093.38954257637,20119.48586676367
2020-10-31,134360.8398272229,115280.89598559578,57044.9791572177,21784.49470479894
2020-11-01,142167.8138790887,124209.41746381039,62024.011345299295,23718.575871207868
2020-11-02,149560.2977452748,133270.90725573525,67099.12229756167,26038.96413878184
2020-11-03,156747.53608004152,142589.47121656322,72353.65383196538,28195.20921201717
2020-11-04,164877.26496363655,151578.9722408425,77189.40098948294,30284.166076287256
2020-11-05,173509.87608885395,160298.31119942438,81916.22359718617,32417.597122102416
2020-11-06,181065.31403298394,169435.7372691102,87458.10359114144,34473.03811931613
2020-11-07,187968.28903407764,178573.64875924858,92961.03656962802,37035.89566758898
2020-11-08,194318.72134563958,187671.25373786472,98102.99048411164,40068.13943855734
2020-11-09,201022.63608653712,195790.38493881995,103537.41654255435,42743.64130241174
2020-11-10,206885.00311427447,203075.90066997902,109189.50571402448,46135.63917365197
2020-11-11,213485.07583207512,210997.3976816844,114542.65275658744,47855.46457906508
2020-11-12,220477.89818522753,218201.6464527303,119206.70762462508,50090.48607701264
2020-11-13,225834.7220413839,224538.78783274995,124285.74853281444,53855.3615309436
2020-11-14,230881.8673820165,231759.22296295295,129271.19706589742,56366.592258947276
2020-11-15,236323.2646490465,237889.1304410946,134235.81329038012,58607.70308077223
2020-11-16,241359.80973667555,244092.3567995476,138597.82319227004,60577.532220468594
2020-11-17,245899.75944272353,249203.47823700172,142719.3714016573,62908.31204104722
2020-11-18,250596.66767562376,254192.0961289646,145473.98669328942,64912.240938394505
2020-11-19,255656.68891127015,259038.84999252507,147535.06968908047,65617.39385950592
2020-11-20,259918.18068137762,262410.732584004,149883.0107329328,66437.50475750567
2020-11-21,262332.49602038437,264034.7649454851,152281.0047802344,68698.43195211966
2020-11-22,264316.50467844994,264357.7944550145,154312.28195497475,70795.45089770682
2020-11-23,264664.06774975156,264550.7081833134,155211.0463704167,73574.71860166808
2020-11-24,266858.34000676195,264310.0979134781,155052.49637873322,73931.16069559852
2020-11-25,267029.68856534164,262907.2276804732,154934.64104528647,75606.7826204231
2020-11-26,266513.6574095031,261900.58939445257,154626.3992293003,76300.04916274652
2020-11-27,265808.344614182,259848.53847538788,154117.71335972316,77383.35152781755
2020-11-28,265415.9158175171,257385.55598874195,152888.6457534461,78529.86508559654
2020-11-29,264966.54137672274,254791.8007906882,151695.17035965176,79212.70999143168
2020-11-30,265394.10316859867,252344.0094564425,150265.96728619837,78586.77267910846
2020-12-01,263721.9666598052,249920.89387318114,149269.79376633078,79089.03284364064
2020-12-02,261476.78458901437,247664.7243880462,148898.79927633345,78903.24729174071
2020-12-03,259312.9272744979,246196.377472544,147885.36946437377,78039.4548803037
2020-12-04,257446.22225876414,244632.2096563012,145886.19261329967,77478.72042162534
2020-12-05,256208.45583886662,241150.94321410859,144720.89191711397,76764.30691886274
2020-12-06,253589.359518144,240575.4654985574,142182.23937989722,75184.78498276632
2020-12-07,250294.8911164819,238201.34239035146,140374.79517607813,74665.64777421896
2020-12-08,247645.10618382707,234753.51353878502,138695.97795629853,73799.04212224364
2020-12-09,245117.0240664235,233130.92440851504,136264.7198770057,71228.5546730967
2020-12-10,241383.1692911488,230087.25802553017,134518.23901077014,70261.58801898913
2020-12-11,238941.70895589833,226004.30184917257,133084.99727075855,68544.11122802104
2020-12-12,235609.16985969793,222979.4521733928,130454.15174588114,67713.88826873976
2020-12-13,233396.793137223,218311.3346299037,128947.07681075537,66193.40700946681
2020-12-14,231597.89445767418,213601.3991659596,127306.15252448391,64506.00462215871
2020-12-15,227977.17821083346,210820.85326079227,126146.66129127605,62596.60156090268
2020-12-16,224526.52991778066,207494.82778257038,124132.86028802629,62654.44345506568
2020-12-17,222984.16440824646,204280.8827883977,122232.26484540339,61472.68909338387
2020-12-18,221199.36464644785,202595.10695050252,120566.45535728971,59517.44198597236
2020-12-19,219611.21689839227,200957.50669075645,120105.89745948049,56425.209578315924
2020-12-20,216866.22210227908,198598.09163327975,119501.96478115578,55199.02248823647
2020-12-21,214263.13122481716,196807.84193588747,117970.2978347324,53891.29889079029
